transcript_name;probe_name;SAS_strand;strand;3280_F2_C1_I1_R1_cy3;3280_F2_C1_I1_R2_cy5;3280_F2_C1_I5_R1_cy3;3280_F2_C1_I5_R2_cy5;3280_F2_C1_L1_R1_cy3;3280_F2_C1_L1_R2_cy5;3280_F2_C2_I1_R1_cy3;3280_F2_C2_I1_R2_cy5;3280_F2_C2_I5_R1_cy3;3280_F2_C2_I5_R2_cy5;3280_F2_C2_I9_R1_cy3;3280_F2_C2_I9_R2_cy5;3280_F2_C2_L1_R1_cy3;3280_F2_C2_L1_R2_cy5;3280_F2_C3_I1_R1_cy3;3280_F2_C3_I1_R2_cy5;3280_F2_C3_I5_R1_cy3;3280_F2_C3_I5_R2_cy5;3280_F2_C3_I9_R1_cy3;3280_F2_C3_I9_R2_cy5;3280_F2_C3_L1_R1_cy3;3280_F2_C3_L1_R2_cy5;3280_F2_C4_I1_R1_cy3;3280_F2_C4_I1_R2_cy5;3280_F2_C4_I5_R1_cy3;3280_F2_C4_I5_R2_cy5;3280_F2_C4_I9_R1_cy3;3280_F2_C4_I9_R2_cy5;3280_F2_C4_L1_R1_cy3;3280_F2_C4_L1_R2_cy5
SCRFLR1012F09.g;GS1_SS_16308_18779;SCRFLR1012F09.g_SS;SS;10,1642;9,8059;10,4268;10,074;9,9092;10,1124;10,5408;9,9946;10,9812;10,5795;11,4402;11,287;9,9908;10,5741;9,2664;10,2828;10,1814;10,3388;10,8912;10,833;10,0416;10,2533;9,4794;9,562;10,455;10,6838;11,2776;10,9274;10,5764;10,0775
SCAGLR1043B10.g;GS1_SS_18416_17211;SCAGLR1043B10.g_SS;SS;9,1048;10,0521;12,2621;9,7291;8,5118;8,9571;8,7093;9,1335;10,1164;9,1106;15,6557;16,9785;8,0838;8,6797;8,5635;9,7733;11,3455;13,8803;14,149;14,3853;7,6839;8,593;8,2179;9,6099;10,4154;13,0565;16,2133;15,3864;8,4811;8,6178
SCAGFL3027E01.g;GS1_SS_22585_04329;SCAGFL3027E01.g_SS;SS;5,8845;;6,5326;;6,6694;;7,5079;;6,2085;;6,015;;7,2485;7,0088;6,033;6,3187;6,2488;;;;;7,3524;6,4555;;;;6,4086;;7,1152;6,3843
SCCCLR1079F11.g;GS1_SS_16307_11714;SCCCLR1079F11.g_SS;SS;12,6853;12,414;13,6061;13,1172;9,1992;9,9158;12,6334;12,8703;13,3069;13,2962;12,1932;12,9383;8,6133;8,5655;11,8768;12,5579;13,2361;13,1776;11,0876;13,2906;9,4043;10,2544;12,018;12,4545;13,5468;14,0672;13,4858;13,8051;9,2462;10,1839
SCCCCL3080G07.g;GS1_SS_18402_07636;SCCCCL3080G07.g_SS;SS;15,3096;15,4778;15,3137;15,4498;12,6953;13,1231;15,0072;14,963;14,6812;14,7399;14,8504;15,0287;12,1892;13,9861;14,4767;15,0309;14,6588;14,8576;14,6724;14,7987;13,7043;13,6131;15,0966;15,2055;14,6009;15,3308;14,8016;15,1989;13,2293;13,332
SCCCLR1065G09.g;GS1_SS_18404_09231;SCCCLR1065G09.g_SS;SS;11,1544;11,4472;10,7458;10,8723;10,784;10,7724;10,7458;10,8968;10,4725;10,5006;11,6692;12,0794;9,5976;11,0805;10,6077;11,6508;10,7884;11,435;11,6137;12,0998;10,9922;11,1255;10,96;12,1082;11,0167;11,7938;11,9108;12,142;11,2404;11,152
SCJFFL3C01G11.g;GS1_SS_22595_08734;SCJFFL3C01G11.g_SS;SS;9,2607;9,969;7,9038;7,5452;7,5542;6,9952;9,4378;9,7328;7,6254;7,9396;9,9182;9,9557;7,9114;8,6512;9,2608;9,8109;7,5509;7,1312;9,3837;9,315;7,5303;7,926;8,5309;8,5882;8,6551;8,8233;9,3414;8,6962;8,2925;7,5248
SCEQLR1050H05.g;GS1_SS_18405_20387;SCEQLR1050H05.g_SS;SS;14,1735;13,3923;13,9477;13,2778;16,0266;17,195;12,6858;13,1711;13,4968;12,8046;16,1323;15,773;16,6123;16,958;13,3053;14,4114;13,9874;14,9028;16,0942;16,2062;15,8098;16,9816;12,8941;13,9402;13,7604;14,3707;15,9911;16,0524;16,1561;16,8707
SCRLCL6033H03.g;GS1_AS_16691_19630;SCRLCL6033H03.g_AS;AS;;;;;;;;;;;;;;6,1499;;;;;;;;6,6446;;;;;;;6,3035;
SCAGST3137B06.g;GS1_SS_18411_12856;SCAGST3137B06.g_SS;SS;10,1374;10,222;10,5194;9,5515;6,5516;6,7452;9,6712;9,6774;10,2487;9,5346;9,0072;10,0419;7,6708;7,6034;9,4526;9,8388;9,7389;10,7506;8,3814;8,9478;5,8638;7,4642;9,2328;8,8558;10,0374;10,954;9,6733;8,9875;7,2272;6,7504
SCACSB1037G05.g;GS1_AS_16692_02257;SCACSB1037G05.g_AS;AS;;;7,0745;;7,6085;7,6068;;;6,1156;6,9519;5,9017;;7,8183;8,4807;;7,0948;7,2484;7,1276;;6,9132;;8,7656;7,0429;7,3134;;;5,9034;;7,65;7,7813
SCAGLR1064B08.g;GS1_SS_22576_17541;SCAGLR1064B08.g_SS;SS;14,1852;14,4136;11,085;11,5355;5,8577;7,0522;13,0592;13,8855;10,8292;12,061;9,06;10,7392;;6,5208;13,7341;14,6479;12,6218;11,6836;11,7784;11,95;7,8334;6,8302;14,2636;15,6348;12,3064;12,7549;12,1526;12,7906;7,3147;7,578
SCJFFL3C03F02.g;GS1_SS_22581_00503;SCJFFL3C03F02.g_SS;SS;12,8097;12,8294;12,0163;12,2464;10,4851;10,6564;12,8384;12,6454;12,1122;12,3225;12,209;11,8766;10,5481;11,2777;12,2918;12,8912;11,7949;12,091;11,93;12,1686;10,7849;10,859;12,7645;12,4922;11,9283;12,0162;11,9233;11,9625;11,2682;10,8952
SCMCRT2085D12.g;GS1_SS_22580_15302;SCMCRT2085D12.g_SS;SS;7,628;;6,7509;6,8872;7,2444;6,9509;7,5699;7,7679;;;8,0707;7,2372;;6,4253;7,7166;7,1568;6,9871;;8,4968;8,2006;7,2389;7,1937;6,9814;7,8292;7,6405;7,7418;7,6386;7,8767;7,9922;7,7918
SCJFFL3C03C02.g;GS1_SS_22579_14758;SCJFFL3C03C02.g_SS;SS;6,7868;7,105;8,5739;8,3068;10,8439;10,8878;7,293;6,7917;8,3975;8,0081;11,3845;10,7374;9,6239;10,1814;6,2728;7,4114;9,2024;8,8075;11,1597;11,8721;10,7363;11,019;6,3821;7,4453;8,6704;9,0729;12,2806;12,0471;11,7054;11,6896
SCMCLR1122H07.g;GS1_SS_16303_01172;SCMCLR1122H07.g_SS;SS;7,8013;8,118;7,0535;6,9562;7,6144;8,006;8,3988;8,8638;7,5166;7,3237;7,3889;7,3021;6,8507;7,7596;7,6436;7,9734;6,7399;;7,3872;7,6556;7,5434;7,7071;7,8913;7,3333;7,3157;7,7496;7,361;7,5343;8,3232;8,0945
SCQSLR1040F07.g;GS1_SS_16302_09479;SCQSLR1040F07.g_SS;SS;10,8008;10,897;11,4994;11,3624;9,8574;9,9667;10,8079;10,4748;11,3453;11,1824;12,091;11,6356;9,813;10,5433;10,1638;10,8256;11,2488;11,034;11,6362;11,5689;9,8358;9,7013;11,3229;11,3738;11,1488;11,3321;11,733;11,7932;10,4386;9,8981
SCEZLR1052B10.g;GS1_SS_18400_02550;SCEZLR1052B10.g_SS;SS;5,7278;;6,615;;;;;;;;6,651;;;;6,1945;;;;;;5,5996;6,6754;;;;;5,9846;;6,2082;7,0178
SCRLRZ3116A05.g;GS1_SS_16294_13755;SCRLRZ3116A05.g_SS;SS;13,439;13,3403;13,6667;13,273;12,5289;12,7603;13,4882;13,1576;13,5544;13,2282;13,6976;13,4912;12,3584;12,7962;12,8446;13,1055;13,087;13,1822;13,5192;13,1301;13,0152;12,6739;13,3874;13,0626;13,6208;13,9273;13,8028;13,7321;13,4346;12,8175
SCRLRZ3115H09.g;GS1_SS_16293_16109;SCRLRZ3115H09.g_SS;SS;10,5369;10,806;10,2237;9,9097;8,7928;8,3103;10,8435;10,6648;10,1262;10,1589;10,7877;10,7313;8,1322;9,2435;10,3898;10,4738;9,8784;9,7156;10,667;10,541;8,9276;8,8908;10,7045;10,3273;10,2984;10,2253;10,7671;10,54;9,5824;9,0151
SCACST3159F12.g;GS1_SS_18397_01900;SCACST3159F12.g_SS;SS;9,5448;9,9238;9,062;8,9151;6,8819;7,0221;9,8495;9,7338;8,8264;8,996;9,3677;9,4534;;6,7972;9,5993;9,8479;8,7306;8,7462;9,1062;9,4738;6,8637;6,8906;9,7884;9,6884;9,3053;9,1196;9,3026;9,6086;7,6159;7,0737
SCSGRZ3062G08.g;GS1_SS_16301_05433;SCSGRZ3062G08.g_SS;SS;11,5291;11,2055;11,5682;11,2882;12,9073;12,6617;10,7921;11,2016;11,4327;11,2969;12,3659;12,5208;12,0496;12,9303;11,011;11,6302;11,4986;11,4835;11,9566;11,9605;12,846;12,6236;11,3362;11,4737;11,8646;11,9712;12,4609;12,3096;13,5906;13,1719
