transcript_name;probe_name;SAS_strand;strand;3280_F2_C1_I1_R1_cy3;3280_F2_C1_I1_R2_cy5;3280_F2_C1_I5_R1_cy3;3280_F2_C1_I5_R2_cy5;3280_F2_C1_L1_R1_cy3;3280_F2_C1_L1_R2_cy5;3280_F2_C2_I1_R1_cy3;3280_F2_C2_I1_R2_cy5;3280_F2_C2_I5_R1_cy3;3280_F2_C2_I5_R2_cy5;3280_F2_C2_I9_R1_cy3;3280_F2_C2_I9_R2_cy5;3280_F2_C2_L1_R1_cy3;3280_F2_C2_L1_R2_cy5;3280_F2_C3_I1_R1_cy3;3280_F2_C3_I1_R2_cy5;3280_F2_C3_I5_R1_cy3;3280_F2_C3_I5_R2_cy5;3280_F2_C3_I9_R1_cy3;3280_F2_C3_I9_R2_cy5;3280_F2_C3_L1_R1_cy3;3280_F2_C3_L1_R2_cy5;3280_F2_C4_I1_R1_cy3;3280_F2_C4_I1_R2_cy5;3280_F2_C4_I5_R1_cy3;3280_F2_C4_I5_R2_cy5;3280_F2_C4_I9_R1_cy3;3280_F2_C4_I9_R2_cy5;3280_F2_C4_L1_R1_cy3;3280_F2_C4_L1_R2_cy5
SCJFRZ1007D02.g;GS1_SS_18848_14639;SCJFRZ1007D02.g_SS;SS;6,2781;;8,7258;8,0808;;;;;8,6768;7,5884;;;;;5,7666;6,9785;8,138;8,0063;;;;;;;8,24;8,4844;7,0576;;;
SCSFRT2067B01.g;GS1_SS_20008_20516;SCSFRT2067B01.g_SS;SS;11,5664;11,9338;10,9628;11,0498;11,4082;11,7222;11,455;11,6348;10,9102;11,0526;12,1019;12,0821;11,1364;11,9766;11,1919;11,9187;10,9632;11,3134;11,8445;12,1758;11,5605;11,6982;11,5742;11,43;11,0017;11,201;11,9663;11,9041;11,9425;11,845
SCEZAM1080H07.g;GS1_SS_15940_09158;SCEZAM1080H07.g_SS;SS;11,266;11,4392;11,0562;11,2275;9,5264;10,1404;11,316;11,0812;10,6253;10,6082;11,9112;11,6894;8,7054;10,2006;10,6422;11,3771;10,7487;10,9938;11,9796;12,179;10,3769;10,5546;11,1069;10,9975;10,8332;11,3078;12,0691;12,5536;9,8014;10,162
SCVPLB1020A04.g;GS1_SS_18847_01946;SCVPLB1020A04.g_SS;SS;10,5758;10,3882;10,2685;10,1909;5,9725;;9,908;9,6128;10,0242;9,6892;;;;;9,7397;10,4658;10,2327;9,9052;;;;;9,5486;10,1439;10,9827;11,1534;8,3978;6,8504;;
SCCCRZ1001C08.g;GS1_SS_15935_02171;SCCCRZ1001C08.g_SS;SS;9,9514;9,7881;10,557;10,1206;7,7214;8,4778;10,8802;10,31;11,0983;10,5754;11,3787;10,7898;8,4579;9,5236;9,1033;9,4036;9,711;9,2438;10,7995;10,2656;8,8848;8,7023;9,943;9,3754;9,8276;10,3888;10,6052;10,36;8,5342;8,1748
SCRUFL1023B06.g;GS1_SS_20015_14827;SCRUFL1023B06.g_SS;SS;5,8057;;;;;;;;;;;;;;5,6931;;;;;;;6,5926;6,2288;6,7151;5,8851;;;;;
SCBGLR1118A02.g;GS1_SS_15936_09438;SCBGLR1118A02.g_SS;SS;9,3748;9,1504;9,8098;9,2605;9,1828;9,3836;9,946;9,7472;10,2745;10,0807;10,1094;10,2905;9,1666;9,1829;9,0262;9,3056;9,5422;9,1972;9,0693;9,0128;9,2263;9;9,6428;9,3936;9,4919;9,78;10,0242;9,7022;9,4624;9,0995
SCVPRZ2044E11.g;GS1_SS_20016_04334;SCVPRZ2044E11.g_SS;SS;11,9986;11,7405;12,2805;11,725;11,8235;11,6749;12,185;11,7618;12,287;11,7922;13,2897;13,4476;11,5736;12,0694;11,6435;12,0273;12,2177;12,2516;12,6041;12,6145;11,8817;11,6226;11,7952;11,7306;12,3305;12,6069;13,3014;12,9108;12,4072;11,5952
SCCCST1003F01.g;GS1_SS_20018_14411;SCCCST1003F01.g_SS;SS;11,9798;12,0188;11,4842;11,5596;11,6803;12,4166;11,4242;11,723;11,0639;11,1802;12,1098;12,4464;11,8068;12,0931;11,6165;12,0733;11,6134;11,891;11,4842;12,267;11,6138;12,3213;11,6587;12,354;11,6622;12,3115;11,9087;13,0495;11,4515;12,208
SCSGST3121H01.g;GS1_SS_18860_03119;SCSGST3121H01.g_SS;SS;;;6,9026;;;;;;;;8,4831;10,5583;;;;;;7,1266;;7,0733;6,0028;;;;5,5894;7,7798;9,2295;7,7212;;
SCJLRT1014H03.g;GS1_SS_15946_21311;SCJLRT1014H03.g_SS;SS;9,7254;10,1015;9,6481;9,5826;7,4445;8,1162;9,843;9,8414;8,968;9,0982;9,2722;9,2484;7,235;7,9518;9,3151;9,7072;8,8452;9,0689;9,0819;9,8602;7,9154;8,6473;9,9955;9,6532;8,8895;9,359;9,535;9,8986;7,1402;7,3977
SCSFST3082E05.g;GS1_SS_18852_03313;SCSFST3082E05.g_SS;SS;9,3079;9,4394;8,8472;8,6292;6,5408;7,2549;9,6413;9,4266;8,7996;8,4574;9,3198;8,5307;7,5512;8,0079;9,3516;9,4455;8,5202;8,552;8,868;8,9999;6,6436;7,5962;9,4775;8,7313;8,83;8,9756;9,1375;9,0278;7,8253;7,348
SCJFRZ3C08E05.g;GS1_SS_15947_13890;SCJFRZ3C08E05.g_SS;SS;;;;;12,1358;12,6313;;;7,158;;8,6554;8,9202;12,8957;11,9631;;;;;7,0306;10,1564;11,5008;12,7096;;;5,8802;;8,414;9,8808;11,2191;13,247
SCQGRT1045A06.g;GS1_SS_18849_21332;SCQGRT1045A06.g_SS;SS;11,9499;12,1847;12,1695;11,8918;10,5602;10,8963;12,0028;12,1665;11,7801;11,6775;12,4803;12,5304;10,6663;11,3756;12,0545;12,4821;12,2054;12,2706;12,2332;12,9625;10,5898;11,495;11,9125;12,4238;12,0318;12,5462;12,4889;13,2206;11,0012;11,2864
SCMCRZ3068C02.g;GS1_SS_15944_21765;SCMCRZ3068C02.g_SS;SS;12,0166;12,274;11,133;11,0289;7,5433;6,9084;12,2144;11,9212;10,8463;10,8654;9,1398;9,6404;7,5738;8,3617;11,7121;11,7417;10,3035;9,9346;8,5294;8,8178;6,9332;7,4144;12,134;11,6057;11,1993;11,1442;9,7195;10,0835;8,1774;7,4772
SCCCLR2004G12.g;GS1_SS_18856_00961;SCCCLR2004G12.g_SS;SS;13,4165;11,6328;13,59;11,4056;14,7322;14,5066;14,1265;13,449;14,0785;13,1728;15,6882;14,8121;14,9785;14,8159;13,895;13,269;14,0036;12,4504;15,0842;14,7954;14,826;14,1994;14,2728;13,8299;14,4816;14,2142;15,4028;15,4228;15,79;15,21
SCJFRZ3C07H07.b;GS1_SS_15945_05631;SCJFRZ3C07H07.b_SS;SS;6,2476;;;;6,6549;;;;;;;;;;6,141;;;;;;6,8241;7,2905;;;5,9728;6,5959;6,1818;6,7326;7,1016;6,5989
SCEQLB1064H03.g;GS1_SS_18854_08475;SCEQLB1064H03.g_SS;SS;6,7315;7,381;6,3223;;;;7,4402;;6,0709;;6,3078;;;;6,9139;6,8575;6,181;;;;;;7,1472;6,6839;5,9252;6,4387;5,9764;;;
SCSFAD1108H10.g;GS1_SS_19998_04413;SCSFAD1108H10.g_SS;SS;9,0238;9,1091;8,4862;8,5377;6,4162;;8,5438;8,6783;7,5457;7,7833;8,6611;8,5981;;;9,1179;9,3081;8,3236;7,9774;9,1786;9,1007;6,6837;6,3573;8,8058;9,2782;8,9421;9,1338;9,2474;9,088;6,741;
SCJLFL1054B04.g;GS1_SS_20004_12380;SCJLFL1054B04.g_SS;SS;11,5268;11,8232;10,0564;10,3285;8,9396;8,7817;11,796;11,9346;10,5466;10,9496;7,6832;8,4008;8,7452;8,958;10,7938;11,3634;9,9918;9,3392;7,6333;8,2292;8,8196;8,6184;11,6311;11,048;10,3862;10,3484;8,6602;8,8567;9,3702;8,563
SCCCLR1065B12.g;GS1_SS_20001_14565;SCCCLR1065B12.g_SS;SS;15,6466;15,8606;14,2029;14,62;;6,8424;15,8396;15,6911;14,7304;15,4386;10,553;10,8227;;;15,346;15,4946;14,2725;13,274;10,2417;11,1644;;6,7793;15,8414;15,2537;14,6464;14,1428;10,2823;10,8535;;
SCEQRT2025D08.g;GS1_SS_19996_08750;SCEQRT2025D08.g_SS;SS;5,9864;;6,4736;;7,2106;;;;;;6,6114;7,1086;;6,3772;6,138;;6,2663;;;;6,95;6,8068;6,524;6,7432;5,9227;;7,0744;;8,1752;7,9774
SCJFFL1C03C07.g;GS1_SS_19997_12933;SCJFFL1C03C07.g_SS;SS;7,1649;7,4305;6,7606;6,7482;;;8,6085;7,5412;7,1572;7,3077;6,1877;8,6788;;;7,3425;7,4627;6,2579;;;;;;7,2332;7,8999;6,3506;;7,9233;7,6729;;
SCRLFL1013A03.g;GS1_SS_19990_11838;SCRLFL1013A03.g_SS;SS;12,2916;12,2602;10,9944;11,1085;10,4038;10,782;12,5366;12,3572;11,3286;10,86;12,719;12,2058;10,4944;11,1746;11,9132;12,1419;10,862;11,1136;12,6594;12,47;10,9502;11,1097;11,7144;11,2916;11,6768;11,5368;12,5103;12,2998;10,9071;10,5321
SCEZRZ1013E06.g;GS1_SS_19994_03368;SCEZRZ1013E06.g_SS;SS;9,0342;9,1638;9,2942;8,9409;8,9486;9,0904;9,6172;9,2326;8,8506;9,0796;11,1056;10,9193;8,5482;9,1789;8,3132;9,2796;8,9754;9,6332;10,8222;10,6554;8,8969;9,0388;8,6264;9,0728;9,3264;9,8549;10,4945;10,6948;9,4587;9,2796
SCQGLR2032C05.g;GS1_SS_15921_17363;SCQGLR2032C05.g_SS;SS;12,338;12,1932;11,718;11,2388;12,2183;12,49;12,6463;12,5524;11,4014;11,343;12,9242;13,155;12,3708;12,3484;12,1592;12,8153;11,7678;11,9381;12,2237;13,1423;12,2945;12,4967;11,9361;12,6845;12,278;12,6309;13,2374;13,5118;12,2218;13,0115
SCSBRZ3117B05.g;GS1_SS_18822_18164;SCSBRZ3117B05.g_SS;SS;9,6298;9,8132;9,9569;9,4678;8,7462;8,9868;9,521;9,2306;9,6582;9,3076;10,5484;10,806;8,6633;9,1692;9,1538;9,3518;9,4172;9,7415;9,9683;10,0573;9,0691;8,84;9,4634;9,4824;9,7642;10,3272;10,5026;10,5277;9,4681;9,1606
SCAGLR2018F11.g;GS1_SS_19988_20596;SCAGLR2018F11.g_SS;SS;;;;;;;;;;;;;;6,0965;;;;;;;;6,9145;;;;;;;5,9449;
SCEZAM2061C07.g;GS1_SS_18818_08322;SCEZAM2061C07.g_SS;SS;11,2954;11,5672;11,0745;11,068;8,0519;8,2053;10,8896;11,029;10,5402;10,819;11,1434;11,3798;7,6808;8,4748;10,8307;11,2718;10,8232;10,5819;10,6117;10,8143;8,5456;8,5251;11,1975;11,3286;10,9486;11,5043;11,2074;11,508;8,8312;8,7458
SCMCST3168G07.g;GS1_SS_19989_11843;SCMCST3168G07.g_SS;SS;12,3729;12,5111;14,7214;13,7307;8,548;9,5138;11,8248;11,8014;13,1049;12,7322;13,6932;15,5388;8,7368;9,1957;11,5158;12,373;13,4489;14,5626;12,5008;13,0992;8,4585;9,2045;12,2166;12,5468;13,1467;14,5068;14,8562;14,2682;9,3162;9,4223
SCUTRZ3073F11.g;GS1_SS_15926_20991;SCUTRZ3073F11.g_SS;SS;5,8234;;;;;;;;;;;;;;6,5228;6,6681;;;;;;;6,4606;;5,7947;;;;;
SCSFST3073A12.g;GS1_SS_18817_05091;SCSFST3073A12.g_SS;SS;6,8414;7,4691;6,4716;;6,5414;;;7,5974;6,257;;6,4835;7,6512;;6,469;6,7116;7,2454;6,251;;6,6832;6,8678;6,1006;7,3053;6,4986;7,0666;5,8216;6,6931;7,3002;7,5795;7,1109;6,9716
SCRUFL1022F08.g;GS1_SS_19986_16287;SCRUFL1022F08.g_SS;SS;10,1054;10,3865;9,9;9,5604;9,26;10,0138;10,472;10,297;9,8736;9,8431;11,7226;11,7247;9,6236;9,685;9,9443;10,2484;9,5442;10,0432;11,0303;10,6551;9,6917;9,3509;10,1549;10,2536;10,1095;10,1544;11,4232;10,929;9,9518;9,8976
SCEZAM1080C10.g;GS1_SS_15927_10746;SCEZAM1080C10.g_SS;SS;9,4268;9,3719;9,1006;8,6052;8,3244;8,3422;9,6848;9,4208;9,2554;9,1786;10,55;9,9255;8,1986;8,714;9,1126;9,2866;9,0604;8,6906;10,8152;10,1692;8,2695;8,7078;9,2368;8,9204;9,2871;9,3666;10,1096;10,1022;9,0592;8,4079
SCSBST3102G10.g;GS1_SS_18814_14141;SCSBST3102G10.g_SS;SS;9,8455;10,295;9,7446;9,6121;7,9764;8,4655;10,0649;10,2636;9,335;9,3307;10,4625;10,3597;7,6176;8,4258;9,7402;10,0974;9,2537;9,4912;9,9152;10,3357;7,8009;8,1802;9,8802;9,773;9,8964;10,3992;10,1249;10,4948;8,0496;8,7025
SCRUFL1022F09.g;GS1_SS_19987_20572;SCRUFL1022F09.g_SS;SS;;;6,386;;;;;;;;;;;;;;;;;;;6,4802;;;;;;;;
SCCCLB1025H11.g;GS1_SS_15928_03377;SCCCLB1025H11.g_SS;SS;13,8004;13,7199;13,9876;13,4666;13,5778;14,0238;13,7416;13,5643;13,6049;13,5014;14,2282;14,4456;13,5462;13,5549;13,2658;13,559;13,9849;13,5083;13,5604;14,2872;13,9172;14,4608;13,6885;13,8532;13,8886;14,0769;14,5095;15,0522;13,6122;14,1288
SCEPRZ3046F03.g;GS1_SS_18833_01293;SCEPRZ3046F03.g_SS;SS;11,8781;10,7299;13,5848;12,662;8,409;8,3507;10,2542;10,5743;12,897;11,6141;12,7854;15,2665;8,0133;8,4542;11,1198;11,667;13,8974;14,077;11,7732;12,6258;8,817;8,9626;10,5746;12,4166;13,7031;14,6111;14,8842;13,4565;8,901;8,9649
SCJFRZ3C07H07.g;GS1_SS_15929_11502;SCJFRZ3C07H07.g_SS;SS;10,505;10,4227;10,4416;10,5613;10,6928;11,0635;9,7196;9,492;9,9782;10,0772;10,1288;9,8078;9,7171;10,6795;9,4592;10,2785;10,4392;10,4482;10,3932;10,6486;11,746;11,4043;9,9853;10,042;10,5162;11,0021;10,098;10,818;11,4724;11,0119
SCEQRT1024B02.g;GS1_SS_18829_17058;SCEQRT1024B02.g_SS;SS;9,938;10,3051;9,3379;9,3438;8,2994;8,4335;9,4369;9,5128;8,8776;8,6464;9,6212;9,7049;7,4862;8,2265;10,1319;10,1055;9,0074;9,4516;9,5092;9,748;8,1911;8,2554;9,4379;9,8205;9,717;9,7274;9,8036;10,1052;8,8527;8,3359
SCEQLR1092C07.g;GS1_SS_15930_11720;SCEQLR1092C07.g_SS;SS;12,6148;12,8311;12,5116;12,4406;10,531;10,77;12,6564;12,4164;12,3142;12,359;12,9318;12,5004;10,475;11,2454;12,0195;12,4762;12,0999;11,8772;12,7758;12,6697;11,0672;11,2904;12,9514;12,4853;12,1344;12,1543;12,5607;12,8266;10,8802;10,8536
SCEZLB1005A02.g;GS1_SS_18827_19309;SCEZLB1005A02.g_SS;SS;13,0155;13,0312;12,4148;12,1454;11,837;12,8496;12,5842;12,7849;11,748;11,9416;11,5268;12,4951;11,7428;10,453;12,897;12,7004;12,5688;11,8618;11,3028;13,1928;11,7078;12,424;12,7136;12,5869;12,6842;12,8119;13,0769;13,6457;10,561;12,8444
SCEPRZ1011G11.g;GS1_SS_15931_04930;SCEPRZ1011G11.g_SS;SS;11,5582;11,735;11,723;11,4422;10,6836;11,0438;11,1818;10,9827;11,0781;10,9776;11,6986;11,5444;10,2796;10,6718;10,8692;11,5444;11,1746;11,2588;11,5066;11,7998;10,7831;10,7062;11,786;11,8769;11,0358;11,6697;11,8218;12,1558;11,048;10,5198
SCCCLR1048G01.g;GS1_SS_18824_21162;SCCCLR1048G01.g_SS;SS;13,3272;13,2628;13,3431;12,8714;12,8652;12,8519;13,3507;13,1789;13,2014;12,7508;14,221;13,77;12,4202;13,1239;12,8371;13,2185;13,0702;12,923;14,3138;14,3332;13,3214;13,3305;12,7012;13,0094;13,3066;13,5048;14,2281;14,4411;13,3307;13,1184
SCCCRT2004E08.g;GS1_SS_15933_21442;SCCCRT2004E08.g_SS;SS;11,344;11,3335;11,3396;10,9704;10,7481;10,6488;11,2596;11,3394;11,5456;11,3582;12,1711;12,2976;10,5337;11,7738;10,8158;11,4808;11,3216;11,4208;11,363;11,3796;10,8396;10,8632;11,5559;11,2475;11,3547;11,5824;11,9718;11,1078;11,3569;10,8125
SCSFST3079F01.g;GS1_SS_18839_07066;SCSFST3079F01.g_SS;SS;11,1636;11,7228;10,5768;10,657;10,1214;10,623;11,126;11,4555;10,3616;10,7742;11,88;11,8324;10,4529;10,9744;11,0255;11,7641;10,4119;10,8352;11,3604;11,7923;10,1642;10,6632;10,8594;10,8069;10,8334;10,9511;11,3896;11,6108;10,4522;10,3822
SCCCCL3080C10.b;GS1_SS_18835_05698;SCCCCL3080C10.b_SS;SS;11,8238;11,6421;11,4586;11,1408;11,0811;11,2762;11,6679;11,5523;11,5964;11,2856;12,1493;12,2384;11,042;11,1996;11,2185;11,5671;11,286;11,4213;11,4814;11,4594;10,9999;10,7888;11,7906;11,5365;11,5598;11,776;12,083;11,9729;11,6882;11,185
SCRUFL1022C12.g;GS1_SS_19985_11025;SCRUFL1022C12.g_SS;SS;10,903;11,1296;10,63;10,4756;9,5606;9,6346;11,2976;10,8978;10,5494;10,5697;11,0567;10,9738;9,3998;10,2766;10,4026;10,864;10,232;10,0954;10,3841;10,4688;9,9848;9,7909;11,1385;10,8139;10,5018;10,807;10,8936;10,8394;10,354;9,9109
SCRUFL1022C01.g;GS1_SS_19983_11003;SCRUFL1022C01.g_SS;SS;11,2568;11,6578;10,0769;10,21;7,7892;7,9232;11,9778;11,8768;10,8013;10,77;9,5698;9,7904;8,0879;8,5458;11,2614;11,4447;9,8586;9,387;8,8662;8,7444;7,2982;8,9071;11,1421;10,5288;10,6475;10,1947;9,3004;8,2902;8,5835;8,4427
SCMCLR1123A02.g;GS1_AS_23944_15785;SCMCLR1123A02.g_AS;AS;;;;;;;;;;;;;;6,5783;;;;;;;;6,4454;;;;;;;5,882;
SCCCLR2C03H09.g;GS1_SS_19975_06045;SCCCLR2C03H09.g_SS;SS;12,4574;12,6572;12,1818;12,2098;7,3086;7,4916;12,5718;12,5261;11,85;12,0971;9,7373;10,1465;7,4754;7,8798;11,9293;12,5015;11,7876;11,4186;9,099;9,1964;6,899;7,3171;12,3996;11,7133;12,376;12,5788;10,0741;9,8547;7,6031;6,9808
SCACSB1121E05.g;GS1_AS_23939_04905;SCACSB1121E05.g_AS;AS;;;;;6,3426;;;;;;;;;;;;;;;;;7,0929;;;;;;;6,2453;
SCRULB1059H07.g;GS1_SS_19976_11453;SCRULB1059H07.g_SS;SS;10,7953;10,9991;10,431;10,5038;8,387;8,5644;11,2298;11,2103;10,8894;10,8813;11,2484;11,7313;8,6614;9,3386;10,395;10,7741;10,4196;10,574;10,5634;10,4485;8,6314;8,7796;11,3404;10,5878;10,484;10,8415;11,7013;11,4112;9,1146;8,6499
SCSBFL1040G08.g;GS1_SS_19979_04451;SCSBFL1040G08.g_SS;SS;5,5242;;;;;;;;;;6,7692;6,7389;;6,1258;;;;;;7,052;6,3898;6,814;;;5,7881;;6,9823;7,8645;6,266;
SCRUFL1112E05.b;GS1_AS_23922_04325;SCRUFL1112E05.b_AS;AS;11,5338;11,954;11,8703;11,6393;7,5718;7,6195;11,699;11,8737;11,4634;11,7996;12,9451;14,292;7,7794;8,5376;11,2583;11,8218;11,0312;12,0748;11,215;11,6698;8,2576;8,9742;11,8463;11,994;11,234;11,9273;12,4756;12,2766;8,3185;8,3742
SCCCCL3001A01.b;GS1_SS_18782_17102;SCCCCL3001A01.b_SS;SS;12,2968;12,4311;13,173;12,8696;12,2585;12,4865;12,1415;11,8827;12,3516;12,1972;13,1694;13,0682;11,5354;12,4354;11,9153;12,602;12,6046;13,29;13,4142;13,3176;12,4732;12,2446;12,5202;12,6827;12,6966;13,1562;13,5367;13,512;12,8118;12,5868
SCCCRZ2C01D03.g;GS1_SS_19967_05861;SCCCRZ2C01D03.g_SS;SS;10,3698;10,663;9,422;9,551;6,6049;;9,9888;10,1144;8,8468;9,4544;8,7318;8,959;;6,6089;10,5778;10,3335;9,0877;8,619;9,4035;9,4366;6,7407;6,5511;10,1546;10,682;9,8467;9,7854;9,1493;9,4624;6,5518;6,505
SCRUFL1112C02.b;GS1_AS_23919_07444;SCRUFL1112C02.b_AS;AS;;;;;6,3067;;;;;;;;;6,6502;;;;;;;;6,4298;;;;;;;5,7426;
SCRFFL1030D04.g;GS1_SS_19968_04795;SCRFFL1030D04.g_SS;SS;8,4597;9,0867;9,4696;9,5974;8,4928;8,3685;9,387;9,2692;9,1576;9,0854;10,7156;10,6394;8,1478;8,8175;8,9588;9,5766;9,1956;9,7549;10,2479;10,3725;8,5089;8,6147;9,1958;9,2451;9,6776;10,008;10,4956;10,5118;9,135;8,6108
SCRUFL1112A10.b;GS1_AS_23917_03290;SCRUFL1112A10.b_AS;AS;;;;;;;;;;;;;;;;;;;;;;6,3821;;;;;;;5,5017;
SCSFRT2067B09.g;GS1_SS_18788_11758;SCSFRT2067B09.g_SS;SS;10,9015;11,2507;11,7724;11,6642;9,8632;10,3434;11,6129;11,1643;11,8324;11,6102;12,8704;12,5584;10,0916;11,4559;10,2946;11,32;11,1684;11,437;12,5524;12,4495;10,695;10,532;11,1747;11,2798;11,0848;11,8064;12,3948;12,7356;10,3848;10,1368
SCJLRT1022F03.g;GS1_AS_23912_01765;SCJLRT1022F03.g_AS;AS;6,6792;;6,4598;;6,7696;;;;;;6,2082;;7,4215;6,8092;6,1687;;6,2974;;;;5,8187;7,1498;6,1875;;;;;;6,9625;6,6154
SCSBST3098E04.g;GS1_SS_18783_02330;SCSBST3098E04.g_SS;SS;5,4983;;7,0545;;6,7346;;;;6,2671;6,6611;8,1716;9,0182;6,7581;7,3482;6,1736;6,9298;6,7572;7,5644;7,5124;7,7353;5,9263;7,5946;;6,6487;5,91;6,8868;8,1698;8,0414;7,3332;6,8727
SCCCLR1C04G08.g;GS1_SS_19974_14939;SCCCLR1C04G08.g_SS;SS;13,7011;13,9016;12,7048;12,9521;12,1797;12,4106;13,4857;13,4855;12,5928;12,6076;13,5536;13,4548;12,0574;12,3843;13,3379;13,9318;12,8913;12,9158;13,4239;13,4787;12,5812;12,5717;13,5794;13,3734;13,067;12,9975;13,4446;13,5934;12,7074;12,7232
SCCCRZ1002H04.g;GS1_SS_18793_09983;SCCCRZ1002H04.g_SS;SS;7,1334;7,1351;7,0086;6,1256;7,1092;7,8967;;7,1946;6,6237;;7,431;8,6598;7,0981;7,8911;6,4382;7,0217;6,6231;6,772;;7,4212;7,2394;7,2095;6,9862;;7,066;7,9545;7,8757;8,3376;7,713;7,9558
SCSBST3100A09.g;GS1_SS_18792_09594;SCSBST3100A09.g_SS;SS;6,5882;;;;6,7888;;;;;;;;7,8046;6,7208;6,5182;7,0984;6,4577;;;;5,4583;7,8173;6,2266;7,0366;5,3401;;6,2638;;7,1973;
SCSBST3100G10.g;GS1_SS_18797_11789;SCSBST3100G10.g_SS;SS;11,2116;11,3832;11,3456;11,1963;9,758;9,5269;11,0942;10,8452;10,8089;10,6685;12,0788;11,655;9,7159;10,723;10,6444;11,2366;10,726;10,514;10,6055;11,2371;9,7948;9,9659;11,0749;11,4006;10,9955;11,3273;11,4978;11,4772;10,2223;9,8427
SCRLFL1005F10.g;GS1_SS_19981_11992;SCRLFL1005F10.g_SS;SS;10,8472;10,6328;9,2476;10,428;;;9,6808;9,4427;9,1181;9,4416;;;;;9,7171;10,1099;8,989;7,895;8,4503;;;;9,8444;9,7744;9,3496;10,0619;6,4048;6,7175;;
SCCCRZ2004B05.g;GS1_SS_18801_13789;SCCCRZ2004B05.g_SS;SS;11,3782;11,321;11,1579;10,8224;10,5104;11,5012;11,0149;11,3447;9,9216;10,3706;11,8045;12,0466;10,3466;11,5292;10,7432;11,6044;10,7412;11,0449;11,6475;12,041;11,3318;11,1278;10,8182;12,2416;11,2405;12,0791;12,0226;12,4267;11,469;11,652
SCACLB1047D07.g;GS1_SS_18807_09737;SCACLB1047D07.g_SS;SS;7,0816;7,4163;6,6544;;7,7204;8,4274;7,1042;7,4568;;;8,0711;8,6868;6,9458;6,9638;6,7692;7,2178;6,741;;7,6383;8,1732;8,1005;7,3531;6,7809;;7,1938;8,0504;8,2952;8,7497;7,6823;9,087
SCRFAM2131E07.g;GS1_SS_19966_09934;SCRFAM2131E07.g_SS;SS;10,385;10,5346;10,8356;10,3592;9,7193;10,6491;10,3211;10,2891;10,3866;9,9734;11,5405;10,9789;10,5124;10,6969;9,7517;10,0811;10,0306;10,2456;11,1162;10,9295;10,0629;9,9479;10,147;9,2569;10,7768;11,2318;10,844;10,4754;10,4644;10,1507
SCCCLR2001F11.g;GS1_SS_18771_16493;SCCCLR2001F11.g_SS;SS;14,6298;14,7876;13,888;13,8769;13,378;13,1568;14,8685;14,7467;14,0775;13,946;15,0386;15,1076;13,1076;13,8339;14,2701;14,6868;13,7152;14,1527;14,9743;15,0543;13,4654;13,3475;14,7477;14,0876;14,2966;14,2252;14,7174;14,7023;14,2441;13,5136
SCJFLR1013F02.g;GS1_SS_18765_13212;SCJFLR1013F02.g_SS;SS;6,6898;;8,5206;7,1036;8,8366;9,5814;7,6376;7,7166;9,6732;8,3714;11,0806;11,8034;9,1702;9,5716;6,0605;7,8824;8,1926;9,0826;9,364;9,1598;8,79;9,0212;7,5588;7,4488;8,1381;8,5146;10,7138;10,1101;9,3116;9,6134
SCACLR1057A12.g;GS1_SS_18770_05237;SCACLR1057A12.g_SS;SS;12,863;12,885;13,5923;13,1969;12,2444;12,4082;12,8083;12,3706;13,0502;12,6806;13,9524;14,1043;12,0988;13,0607;12,1458;12,7584;13,1152;13,1992;13,3556;13,4253;12,6738;12,4167;12,4494;12,8128;13,2751;13,9621;14,054;13,7974;12,914;12,4145
SCSBST3093F07.g;GS1_SS_18757_11819;SCSBST3093F07.g_SS;SS;7,0621;;10,3935;8,5794;5,9088;;6,9571;;8,8444;7,5955;10,6856;12,4802;;;5,8962;6,774;8,802;10,6182;9,0749;9,8138;;;5,9661;;8,4828;11,0888;10,8772;11,4091;;6,7793
SCJLRT1014H06.g;GS1_SS_18758_13846;SCJLRT1014H06.g_SS;SS;8,7436;8,8712;9,7664;8,8762;9,9462;10,5039;8,4314;8,5872;9,1409;8,3887;11,7034;11,4891;9,7336;10,138;8,551;9,582;9,8868;10,806;11,3364;12,1435;10,6752;11,7275;7,995;9,2258;10,1396;10,7161;11,534;12,2265;10,721;11,0809
SCRUFL1114F08.g;GS1_AS_23949_01679;SCRUFL1114F08.g_AS;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,1736;
SCSBST3093E04.g;GS1_SS_18755_06946;SCSBST3093E04.g_SS;SS;11,2634;11,641;10,0862;10,2662;9,6431;10,0437;11,4817;11,445;10,2288;10,5878;10,3048;10,14;9,5801;9,6648;10,7731;11,1597;9,6153;9,5694;9,9523;10,0337;9,7259;9,7152;11,0965;10,679;9,981;10,0777;9,9899;9,8581;9,9624;9,9035
SCSBST3093E12.g;GS1_SS_18756_06525;SCSBST3093E12.g_SS;SS;12,0271;12,1244;10,6778;10,7988;7,5425;7,5211;11,8909;11,6968;10,7803;11,1658;10,8159;10,9535;7,4038;8,4693;12,0876;12,4786;11,2678;11,4;10,9264;11,1094;5,6279;8,2932;11,6684;11,6026;11,6039;11,4926;11,7236;11,0567;7,6756;7,9171
SCJLST1024E03.g;GS1_AS_23954_03697;SCJLST1024E03.g_AS;AS;;;;;;;;;;;;;;;;;;;;;;6,1696;;;;;;;6,3166;6,1156
